#connect: {"from": "stage",     "to": "id", "invert": true, "style": "curved=1;fontSize=11;"}
#connect: {"from": "terraform", "to": "id",                 "style": "curved=1;fontSize=11;"}
#connect: {"from": "branch",    "to": "id",                 "style": "curved=1;fontSize=11;"}
#connect: {"from": "ansible",   "to": "id",                 "style": "curved=1;fontSize=11;"}
#
## Node label with placeholders and HTML.
## Default is '%name_of_first_column%'.
#
## label: %label%<br><i style="color:gray;">%type%</i><br><a href="mailto:%email%">Email</a>
## label: %label%<br><i style="color:gray;">%type%</i>
#label: %name%<br><b><i style="color:gray;">%type%</i></b>
#
## Node style (placeholders are replaced once).
## Default is the current style for nodes.
#
#style: label;image=%image%;whiteSpace=wrap;html=1;rounded=1;fillColor=%fill%;strokeColor=%stroke%;fontColor=#000000
#
## Node width. Possible value is a number (in px), auto or an @ sign followed by a column
## name that contains the value for the width. Default is auto.
#
#width: auto
#
## Node height. Possible value is a number (in px), auto or an @ sign followed by a column
## name that contains the value for the height. Default is auto.
#
#height: auto
#
## Padding for autosize. Default is 0.
#
#padding: 0
#
## Name of layout. Possible values are auto, none, verticaltree, horizontaltree,
## verticalflow, horizontalflow, organic, circle. Default is auto.
#
#layout: verticalflow
#
## Comma-separated list of ignored columns for metadata. (These can be
## used for connections and styles but will not be added as metadata.)
#
#ignore: image, fill, stroke
#
## Node x-coordinate. Possible value is a column name. Default is empty. Layouts will
## override this value.
#
#left: 
#
## Node y-coordinate. Possible value is a column name. Default is empty. Layouts will
## override this value.
#
#top: 
#
## Node width. Possible value is a number (in px), auto or an @ sign followed by a column
## name that contains the value for the width. Default is auto.
#
#width: auto
#
## Node height. Possible value is a number (in px), auto or an @ sign followed by a column
## name that contains the value for the height. Default is auto.
#
#height: auto
#
## Parent style for nodes with child nodes (placeholders are replaced once).
#
#parentstyle: swimlane;whiteSpace=wrap;html=1;childLayout=stackLayout;horizontal=1;horizontalStack=0;resizeParent=1;resizeLast=0;collapsible=1;
#
id,name,type,stage,when,terraform,branch,ansible,fill,stroke,image
terraform-plan,terraform-plan,stage,,,"","",,#f5f5f5,#6c9ebf,https://www.dropbox.com/s/ddf9xfjvete6xmv/stage-logo.png?raw=1
terraform,terraform,stage,,,"","",,#f5f5f5,#6c9ebf,https://www.dropbox.com/s/ddf9xfjvete6xmv/stage-logo.png?raw=1
deploy,deploy,stage,,,"","",,#f5f5f5,#6c9ebf,https://www.dropbox.com/s/ddf9xfjvete6xmv/stage-logo.png?raw=1
build-1,build,job,terraform,,"init,plan,apply","develop,uat",,#dae8fc,#6c8ebf,https://www.dropbox.com/s/xinbwsjsh0ezi8n/job-logo.png?raw=1
deploy-services-2,deploy-services,job,deploy,on_success,"","develop,uat",deploy-services.yaml,#dae8fc,#6c8ebf,https://www.dropbox.com/s/xinbwsjsh0ezi8n/job-logo.png?raw=1
deploy-repository-3,deploy-repository,job,deploy,on_success,"","develop,uat",deploy-repository.yaml,#dae8fc,#6c8ebf,https://www.dropbox.com/s/xinbwsjsh0ezi8n/job-logo.png?raw=1
deploy-efs-4,deploy-efs,job,deploy,on_success,"","develop,uat",deploy-efs.yaml,#dae8fc,#6c8ebf,https://www.dropbox.com/s/xinbwsjsh0ezi8n/job-logo.png?raw=1
destroy-develop-5,destroy-develop,job,terraform,manual,"init,destroy","develop",,#dae8fc,#6c8ebf,https://www.dropbox.com/s/gjw7xqd7de23wmp/manual-logo.png?raw=1
build-prod-plan-6,build-prod-plan,job,terraform-plan,,"init,plan","prod",,#dae8fc,#6c8ebf,https://www.dropbox.com/s/xinbwsjsh0ezi8n/job-logo.png?raw=1
build-prod-7,build-prod,job,terraform,manual,"init,apply","prod",,#dae8fc,#6c8ebf,https://www.dropbox.com/s/gjw7xqd7de23wmp/manual-logo.png?raw=1
deploy-prod-services-8,deploy-prod-services,job,deploy,manual,"","prod",deploy-services.yaml,#dae8fc,#6c8ebf,https://www.dropbox.com/s/gjw7xqd7de23wmp/manual-logo.png?raw=1
deploy-prod-repository-9,deploy-prod-repository,job,deploy,manual,"","prod",deploy-repository.yaml,#dae8fc,#6c8ebf,https://www.dropbox.com/s/gjw7xqd7de23wmp/manual-logo.png?raw=1
