id,name,type,stage,when,terraform,branch,ansible,fill,stroke,image
stage-ARMAGEDON,ARMAGEDON,stage,,,"","",,#f5f5f5,#6c9ebf,https://www.dropbox.com/s/ddf9xfjvete6xmv/stage-logo.png?raw=1
stage-plan,plan,stage,,,"","",,#f5f5f5,#6c9ebf,https://www.dropbox.com/s/ddf9xfjvete6xmv/stage-logo.png?raw=1
stage-build,build,stage,,,"","",,#f5f5f5,#6c9ebf,https://www.dropbox.com/s/ddf9xfjvete6xmv/stage-logo.png?raw=1
stage-deploy_service,deploy_service,stage,,,"","",,#f5f5f5,#6c9ebf,https://www.dropbox.com/s/ddf9xfjvete6xmv/stage-logo.png?raw=1
stage-deploy_conf,deploy_conf,stage,,,"","",,#f5f5f5,#6c9ebf,https://www.dropbox.com/s/ddf9xfjvete6xmv/stage-logo.png?raw=1
stage-deploy_wars,deploy_wars,stage,,,"","",,#f5f5f5,#6c9ebf,https://www.dropbox.com/s/ddf9xfjvete6xmv/stage-logo.png?raw=1
job-test-develop-1,test-develop,job,stage-plan,,"terraform-init,terraform-plan","git-develop",,#dae8fc,#6c8ebf,https://www.dropbox.com/s/xinbwsjsh0ezi8n/job-logo.png?raw=1
job-plan-2,plan,job,stage-plan,,"terraform-init,terraform-plan","",,#dae8fc,#6c8ebf,https://www.dropbox.com/s/xinbwsjsh0ezi8n/job-logo.png?raw=1
job-build-3,build,job,stage-build,,"terraform-init,terraform-apply","",,#dae8fc,#6c8ebf,https://www.dropbox.com/s/xinbwsjsh0ezi8n/job-logo.png?raw=1
job-deploy_service-4,deploy_service,job,stage-deploy_service,,"","",ansible-deploy-service.yaml,#dae8fc,#6c8ebf,https://www.dropbox.com/s/xinbwsjsh0ezi8n/job-logo.png?raw=1
job-deploy_wars-5,deploy_wars,job,stage-deploy_wars,,"","",ansible-deploy-application.yaml,#dae8fc,#6c8ebf,https://www.dropbox.com/s/xinbwsjsh0ezi8n/job-logo.png?raw=1
job-ARMAGEDON-6,ARMAGEDON,job,stage-ARMAGEDON,manual,"terraform-init,terraform-destroy","git-uat,git-pp,git-prod",,#dae8fc,#6c8ebf,https://www.dropbox.com/s/gjw7xqd7de23wmp/manual-logo.png?raw=1
terraform-init,terraform-init,terraform,,,"","",,#99ffcc,#82b366,https://www.dropbox.com/s/ngptqgmji59j3h7/terraform-logo-1.png?raw=1
terraform-plan,terraform-plan,terraform,,,"","",,#99ffcc,#82b366,https://www.dropbox.com/s/ngptqgmji59j3h7/terraform-logo-1.png?raw=1
terraform-apply,terraform-apply,terraform,,,"","",,#99ffcc,#82b366,https://www.dropbox.com/s/ngptqgmji59j3h7/terraform-logo-1.png?raw=1
terraform-destroy,terraform-destroy,terraform,,,"","",,#99ffcc,#82b366,https://www.dropbox.com/s/ngptqgmji59j3h7/terraform-logo-1.png?raw=1
git-develop,git-develop,branch,,,"","",,#d5e8d4,#82b366,https://www.dropbox.com/s/vf0nzuvj8lr61u2/gitbranch-logo.png?raw=1
git-uat,git-uat,branch,,,"","",,#d5e8d4,#82b366,https://www.dropbox.com/s/vf0nzuvj8lr61u2/gitbranch-logo.png?raw=1
git-pp,git-pp,branch,,,"","",,#d5e8d4,#82b366,https://www.dropbox.com/s/vf0nzuvj8lr61u2/gitbranch-logo.png?raw=1
git-prod,git-prod,branch,,,"","",,#d5e8d4,#82b366,https://www.dropbox.com/s/vf0nzuvj8lr61u2/gitbranch-logo.png?raw=1
ansible-deploy-service.yaml,ansible-deploy-service.yaml,ansible,,,"","",,#f8cecc,#82b366,https://www.dropbox.com/s/louj6pc6a3xb4gi/ansible-logo-1.png?raw=1
ansible-deploy-application.yaml,ansible-deploy-application.yaml,ansible,,,"","",,#f8cecc,#82b366,https://www.dropbox.com/s/louj6pc6a3xb4gi/ansible-logo-1.png?raw=1
